Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,N/A,333200,385600,337700,247200,221800,212000,208700,215200,214500,213900
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,N/A,20800,36300,28800,18400,16600,15300,14800,15700,15800,15000
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,N/A,113200,73900,85600,76400,73300,70700,70200,72300,72200,74700
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",N/A,92100,102000,93800,69400,62700,60900,61000,61300,61800,61300
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",N/A,59200,61500,54200,40400,37700,35900,34500,36200,36000,35500
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,N/A,29200,53800,39000,20800,15100,11900,11000,11600,11100,9700
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,N/A,18900,58200,36400,21700,16400,17200,17200,18100,17500,17700
NOC1_0,Management occupations,Gestion,N/A,2200,900,200,700,400,400,400,500,400,400
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",N/A,71200,60900,58400,45000,39800,35500,34600,36200,36100,35200
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,N/A,50100,28900,35400,33100,30400,29600,27900,30200,29600,31000
NOC1_3,"Health occupations, except management",Secteur de la santé,N/A,32500,40100,48100,44200,46300,46000,48400,46800,47800,50400
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",N/A,84200,46700,43600,29900,28900,28300,28800,30000,29200,30200
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",N/A,17800,9500,8300,7900,7200,7200,7500,7300,7400,7100
NOC1_6,"Sales and service occupations, except management",Vente et services,N/A,21200,97000,67800,35100,29200,28400,28100,27300,27500,25700
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",N/A,69100,70400,57300,38600,32900,32100,31000,32200,31600,29200
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",N/A,-16700,17800,7100,3700,1400,1400,-400,1800,2100,1800
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,N/A,1800,13400,11700,9100,5300,3100,2500,2900,2800,3000
00010,Legislators,Membres des corps législatifs,N/A,100,100,0,0,0,0,0,0,0,0
00011,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,N/A,300,100,0,0,0,0,0,0,0,0
00012,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",N/A,1800,700,100,700,400,500,400,500,500,500
00013,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00014,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00015,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,Directeurs financiers/directrices financières,N/A,1700,800,1300,500,900,600,700,700,700,600
10011,Human resources managers,Directeurs/directrices des ressources humaines,N/A,2300,600,900,700,500,500,600,300,600,600
10012,Purchasing managers,Directeurs/directrices des achats,N/A,400,600,300,200,200,200,100,200,200,200
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,N/A,700,-500,100,-100,-100,0,-100,100,100,0
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",N/A,600,700,700,700,600,400,400,300,300,300
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",N/A,-800,1900,1600,1400,1200,900,800,800,700,600
10022,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques",N/A,1000,800,700,800,800,800,700,900,900,900
10029,Other business services managers,Directeurs/directrices d'autres services aux entreprises,N/A,800,0,500,400,400,500,500,500,500,500
10030,Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,N/A,100,0,0,0,0,0,0,0,0,0
11100,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,N/A,4100,2000,3000,2400,1500,1000,1300,1100,1400,1300
11101,Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,N/A,2800,1400,1600,1200,1000,700,600,800,700,600
11102,Financial advisors,Conseillers financiers/conseillères financières,N/A,1200,100,1800,2900,2400,1700,2600,1400,1700,1700
11103,"Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",N/A,400,500,400,300,300,200,100,200,100,100
11109,Other financial officers,Autres agents financiers/agentes financières,N/A,1400,1500,1300,1200,1100,900,900,900,900,800
11200,Human resources professionals,Professionnels/professionnelles en ressources humaines,N/A,2200,3100,3300,2800,2600,2500,2500,2500,2500,2500
11201,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,N/A,2500,3000,2100,1700,1600,1500,1400,1700,1600,1600
11202,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques",N/A,8500,3500,3900,3300,3600,3600,3300,4000,3900,3900
12010,"Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,N/A,0,700,500,400,300,300,300,300,300,300
12011,"Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,N/A,1100,600,800,500,600,500,400,600,600,500
12012,"Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",N/A,100,100,100,0,0,0,0,0,0,0
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",N/A,2000,400,2100,2400,1100,1100,1100,1100,1100,1100
12100,Executive assistants,Adjoints/adjointes de direction,N/A,1000,800,800,600,400,200,300,300,300,300
12101,Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement,N/A,1200,400,2000,800,700,1000,1000,800,900,1000
12102,Procurement and purchasing agents and officers,Agents/agentes en approvisionnement et aux achats,N/A,3600,900,1500,1500,1300,1300,1200,1400,1400,1500
12103,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements,N/A,500,1000,400,500,400,500,400,400,400,400
12104,Employment insurance and revenue officers,Agents/agentes d'assurance-emploi et du revenu,N/A,-100,1300,800,500,500,600,400,800,700,700
