Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,237800,229200,252200,257500,258300,258700,259000,259200,259400,259400,259300
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,20500,19100,21200,21700,21800,21800,21800,21800,21800,21800,21800
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,69900,64400,71700,73800,74100,74300,74400,74500,74500,74600,74500
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",45600,44600,49000,50100,50200,50400,50400,50500,50600,50600,50600
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",33500,33400,36700,37400,37600,37700,37800,37800,37900,37900,37900
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,34100,34100,37100,37600,37600,37600,37600,37600,37500,37500,37500
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,34200,33700,36500,36900,37000,37000,37000,37000,37000,37000,37000
NOC1_0,Management occupations,Gestion,300,300,300,300,300,300,300,300,300,300,300
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",41600,40200,44500,45600,45700,45800,45800,45800,45800,45800,45700
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,48800,44000,49100,50700,51000,51100,51300,51400,51600,51600,51700
NOC1_3,"Health occupations, except management",Secteur de la santé,14400,14900,16500,16800,16900,16900,17000,17000,17000,17000,17000
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",17200,17800,19600,20000,20100,20200,20200,20300,20300,20300,20300
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",7100,6100,6700,6800,6800,6800,6800,6800,6700,6700,6700
NOC1_6,"Sales and service occupations, except management",Vente et services,58600,57800,63100,64000,64200,64200,64200,64200,64200,64100,64100
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",32500,31700,34600,35200,35300,35400,35400,35500,35500,35500,35500
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",2600,2800,3000,3000,3000,3000,3000,3000,3000,3000,3000
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,14600,13500,14700,15000,15000,15000,15000,15000,15000,15000,15000
00010,Legislators,Membres des corps législatifs,0,0,0,0,0,0,0,0,0,0,0
00011,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,0,0,0,0,0,0,0,0,0,0,0
00012,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",300,300,300,300,300,300,300,300,300,300,300
00013,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00014,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00015,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,Directeurs financiers/directrices financières,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100
10011,Human resources managers,Directeurs/directrices des ressources humaines,400,400,400,500,500,500,500,500,500,500,500
10012,Purchasing managers,Directeurs/directrices des achats,300,300,300,300,300,300,300,300,300,300,300
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,100,100,100,100,100,100,100,100,100,100,100
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",400,400,400,400,400,500,500,500,500,500,500
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",900,900,1000,1100,1100,1100,1100,1200,1200,1200,1200
10022,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques",1000,900,1000,1000,1000,1000,1000,1000,1000,1000,1100
10029,Other business services managers,Directeurs/directrices d'autres services aux entreprises,200,200,300,300,300,300,300,300,300,300,300
10030,Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,100,100,200,200,200,200,200,200,200,200,200
11100,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,3500,3400,3800,3900,4000,4000,4000,4000,4000,4000,3900
11101,Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,1900,1200,1300,1400,1400,1400,1400,1400,1400,1400,1400
11102,Financial advisors,Conseillers financiers/conseillères financières,2100,2100,2300,2300,2300,2300,2300,2300,2300,2300,2300
11103,"Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",400,500,500,500,500,500,500,500,500,500,500
11109,Other financial officers,Autres agents financiers/agentes financières,700,600,700,700,700,700,700,800,800,800,800
11200,Human resources professionals,Professionnels/professionnelles en ressources humaines,1200,1300,1500,1500,1600,1600,1600,1600,1700,1700,1700
11201,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,2400,2500,2800,2900,2800,2800,2800,2800,2800,2800,2700
11202,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques",3600,3400,3700,3900,3900,3900,4000,4000,4000,4000,4000
12010,"Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,200,200,300,300,300,300,300,300,300,300,300
12011,"Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,500,400,500,500,500,500,500,500,500,500,500
12012,"Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",0,0,0,0,0,0,0,0,0,0,0
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1200,1200,1300,1300,1400,1400,1400,1400,1500,1500,1500
12100,Executive assistants,Adjoints/adjointes de direction,300,300,300,300,300,300,300,300,300,300,300
12101,Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement,1000,900,1000,1000,1000,1000,1000,1000,1000,1000,1000
12102,Procurement and purchasing agents and officers,Agents/agentes en approvisionnement et aux achats,1000,900,1000,1000,1000,1000,1000,1000,1000,1000,1000
12103,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements,300,300,300,300,300,300,300,300,300,300,300
12104,Employment insurance and revenue officers,Agents/agentes d'assurance-emploi et du revenu,400,400,400,500,500,500,500,500,500,500,400
12110,"Court reporters, medical transcriptionists and related occupations","Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé",0,0,0,0,0,0,0,0,0,0,0
12111,Health information management occupations,Personnel en gestion de l'information sur la santé,0,0,0,0,0,0,0,0,0,0,0
12112,Records management technicians,Techniciens/techniciennes à la gestion des documents,100,100,100,100,100,100,100,100,100,100,100
12113,Statistical officers and related research support occupations,Agents/agentes de statistiques et professions connexes du soutien de la recherche,100,100,100,100,100,100,100,100,100,100,100
12200,Accounting technicians and bookkeepers,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,1600,1600,1800,1800,1800,1800,1800,1800,1800,1800,1900
12201,Insurance adjusters and claims examiners,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres,300,300,400,400,400,400,400,400,400,400,400
12202,Insurance underwriters,Assureurs/assureures,300,200,300,300,300,300,300,300,300,300,300
12203,"Assessors, business valuators and appraisers","Estimateurs/estimatrices, évaluateurs/évaluatrices d'entreprise et autres évaluateurs/évaluatrices",200,100,100,200,200,200,100,100,100,100,100
13100,Administrative officers,Agents/agentes d'administration,2100,2000,2200,2200,2200,2200,2200,2200,2200,2200,2200
13101,Property administrators,Agents/agentes de gestion immobilière,400,400,500,500,500,500,500,500,500,500,500
13102,Payroll administrators,Administrateurs/administratrices de la paye,400,400,500,500,500,500,500,500,500,500,500
13110,Administrative assistants,Adjoints administratifs/adjointes administratives,1800,1900,2100,2100,2100,2100,2100,2100,2100,2100,2100
13111,Legal administrative assistants,Adjoints administratifs juridiques/adjointes administratives juridiques,400,400,500,500,500,500,500,500,500,500,500
13112,Medical administrative assistants,Adjoints administratifs médicaux/adjointes administratives médicales,600,600,600,600,600,600,700,700,700,700,700
13200,"Customs, ship and other brokers","Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières",100,200,200,200,200,200,200,200,200,200,200
13201,Production and transportation logistics coordinators,Coordonnateurs/coordonnatrices de la logistique de la production et du transport,700,600,600,600,600,600,600,600,600,600,600
14100,General office support workers,Employés/employées de bureau - soutien général,1000,1100,1200,1200,1200,1200,1200,1200,1100,1100,1100
14101,Receptionists,Réceptionnistes,1000,1000,1100,1100,1100,1100,1100,1100,1000,1000,1000
14102,Personnel clerks,Commis des services du personnel,100,100,100,100,100,100,100,100,100,100,100
