Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,N/A,859600,923200,884900,801000,780000,773700,771300,776500,772100,766900
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,N/A,87200,104400,98400,88700,87600,86700,86200,86800,86300,84700
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,N/A,218500,182300,196400,189000,187700,186900,187700,190300,190300,192900
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",N/A,213100,225600,219700,197300,192200,191300,192000,192700,192800,191700
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",N/A,149500,153100,147100,134400,132200,131000,129700,131100,130200,128900
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,N/A,113700,139700,126100,108500,102800,99600,98200,97800,96300,93200
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,N/A,77600,118100,97200,83000,77600,78100,77500,77700,76200,75500
NOC1_0,Management occupations,Gestion,N/A,4800,3500,2800,3400,3100,3200,3200,3200,3200,3100
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",N/A,175200,166800,165900,153700,149700,145900,144600,145900,144800,142700
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,N/A,93800,74000,81900,80400,78500,78200,77200,79800,79200,80700
NOC1_3,"Health occupations, except management",Secteur de la santé,N/A,68800,77500,86500,83300,86200,86900,90000,88800,90200,92900
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",N/A,145900,110500,109000,97000,97300,97900,99100,101000,100300,101300
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",N/A,32800,24300,23100,22700,21800,21700,21800,21500,21500,21100
NOC1_6,"Sales and service occupations, except management",Vente et services,N/A,144200,221600,193600,161800,155800,154800,153900,151800,150300,146800
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",N/A,161400,165200,153900,136200,130800,130600,129600,130500,128900,125600
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",N/A,-500,33900,23400,19900,17500,17500,15500,17500,17600,17100
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,N/A,33400,45900,44800,42700,39000,37100,36300,36500,36100,35500
00010,Legislators,Membres des corps législatifs,N/A,600,600,500,500,400,400,400,400,300,300
00011,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,N/A,500,300,200,200,200,200,200,200,200,200
00012,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",N/A,3600,2500,2000,2700,2400,2500,2500,2600,2600,2500
00013,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00014,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00015,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,Directeurs financiers/directrices financières,N/A,3800,2900,3600,2800,3300,3000,3200,3200,3200,3200
10011,Human resources managers,Directeurs/directrices des ressources humaines,N/A,3500,1900,2200,2100,2100,2100,2200,1900,2200,2200
10012,Purchasing managers,Directeurs/directrices des achats,N/A,1000,1100,900,800,800,800,800,900,900,900
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,N/A,1200,0,600,300,400,400,300,500,500,400
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",N/A,2000,2100,2100,2200,2000,1800,1800,1700,1700,1700
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",N/A,1100,3900,3600,3600,3500,3200,3100,3100,3100,3000
