Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,N/A,790600,816700,822200,822900,824000,825800,828500,832000,836000,840100
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,N/A,81200,83400,83900,84100,84200,84300,84400,84500,84600,84700
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,N/A,198400,207800,211400,213100,214900,216900,219200,221600,224200,226800
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",N/A,193400,199400,201100,201800,202500,203300,204300,205500,206700,208000
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",N/A,128700,132700,133600,133900,134200,134600,135100,135600,136200,136800
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,N/A,103900,106700,106300,105600,104900,104300,103900,103700,103600,103500
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,N/A,84900,86700,85800,84500,83300,82400,81700,81100,80700,80300
NOC1_0,Management occupations,Gestion,N/A,3500,3600,3600,3600,3600,3600,3600,3600,3600,3600
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",N/A,158100,163400,164900,165600,166300,167100,168000,169000,170100,171300
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,N/A,84300,90300,92500,93300,94200,95100,96000,97100,98200,99300
NOC1_3,"Health occupations, except management",Secteur de la santé,N/A,75500,77900,78800,79400,79900,80600,81200,82000,82700,83500
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",N/A,104200,106800,107600,108100,108600,109300,110000,110800,111700,112600
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",N/A,25700,26400,26500,26500,26500,26500,26600,26700,26900,27100
NOC1_6,"Sales and service occupations, except management",Vente et services,N/A,161900,166400,165800,164300,163100,162100,161300,160900,160700,160500
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",N/A,127300,130500,130900,130800,130700,130700,130800,131000,131200,131400
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",N/A,15500,15600,15500,15400,15300,15200,15100,15100,15100,15100
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,N/A,34600,35900,36000,35900,35800,35800,35800,35800,35800,35800
00010,Legislators,Membres des corps législatifs,N/A,400,400,400,400,400,400,400,400,400,400
00011,Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,N/A,300,300,300,300,300,300,300,300,300,300
00012,"Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",N/A,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
00013,"Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00014,"Senior managers - trade, broadcasting and other services","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00015,"Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10010,Financial managers,Directeurs financiers/directrices financières,N/A,3500,3700,3700,3700,3700,3700,3700,3700,3700,3700
10011,Human resources managers,Directeurs/directrices des ressources humaines,N/A,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500
10012,Purchasing managers,Directeurs/directrices des achats,N/A,900,900,900,900,900,900,900,900,900,900
10019,Other administrative services managers,Directeurs/directrices d'autres services administratifs,N/A,500,500,500,500,500,500,500,500,500,500
10020,"Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",N/A,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100
10021,"Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",N/A,3200,3300,3400,3400,3400,3500,3500,3500,3500,3600
10022,"Advertising, marketing and public relations managers","Directeurs/directrices de la publicité, du marketing et des relations publiques",N/A,2000,2100,2200,2200,2200,2200,2200,2200,2300,2300
10029,Other business services managers,Directeurs/directrices d'autres services aux entreprises,N/A,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
10030,Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,N/A,400,400,400,400,400,400,400,400,400,400
11100,Financial auditors and accountants,Vérificateurs/vérificatrices et comptables,N/A,11300,11700,11800,11900,11900,11900,12000,12100,12100,12200
11101,Financial and investment analysts,Analystes financiers/analystes financières et analystes en placements,N/A,2800,3000,3100,3100,3200,3200,3300,3300,3400,3500
11102,Financial advisors,Conseillers financiers/conseillères financières,N/A,5600,5900,6000,6000,6100,6100,6200,6200,6300,6300
11103,"Securities agents, investment dealers and brokers","Agents/agentes en valeurs, agents/agentes en placements et négociateurs/négociatrices en valeurs",N/A,900,1000,1000,1000,1000,1000,1000,1100,1100,1100
11109,Other financial officers,Autres agents financiers/agentes financières,N/A,2300,2400,2400,2400,2500,2500,2500,2500,2600,2600
11200,Human resources professionals,Professionnels/professionnelles en ressources humaines,N/A,6300,6500,6600,6700,6800,6900,7000,7100,7200,7300
11201,Professional occupations in business management consulting,Professionnels/professionnelles des services-conseils en gestion aux entreprises,N/A,7000,7300,7400,7400,7500,7500,7500,7600,7600,7600
11202,"Professional occupations in advertising, marketing and public relations","Professionnels/professionnelles en publicité, en marketing et en relations publiques",N/A,10500,11000,11300,11400,11600,11900,12100,12400,12700,13000
12010,"Supervisors, general office and administrative support workers",Superviseurs/superviseures de commis de bureau et du personnel de soutien administratif,N/A,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300
12011,"Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,N/A,2100,2200,2200,2200,2200,2200,2200,2200,2200,2200
12012,"Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",N/A,100,100,100,100,100,100,100,100,100,100
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",N/A,3300,3400,3500,3600,3700,3700,3700,3800,3800,3900
12100,Executive assistants,Adjoints/adjointes de direction,N/A,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
