Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,2,2,2,2,2,2,2,2,2,1.9,1.9
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.5
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.2,2.2,2.1,2.1
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2,2
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.5
NOC1_0,Management occupations,Gestion,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3,3
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.1,2.1
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7
NOC1_3,"Health occupations, except management",Secteur de la santé,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.6,1.6,1.5
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",1.8,1.9,1.9,1.9,2,2,2,2,2,2,1.9
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",1.8,1.7,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.4,1.4
NOC1_6,"Sales and service occupations, except management",Vente et services,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.8
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2,2,1.9
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",2.5,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.3,2.3
