Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,401100,410000,419800,428400,434400,437400,439800,439900,437600,432800,427200
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,53400,53800,55100,56000,56800,57400,57600,57600,57200,56500,55600
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,77600,79600,82300,84600,86200,87600,89200,90100,90400,90100,89900
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",90200,93200,95700,97700,99500,100600,101100,101400,101400,100700,99800
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",70200,71400,72500,73700,74700,75000,75400,75400,74900,74000,72900
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,65400,66700,68100,69300,69800,69700,69600,69100,68100,66800,65200
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,44500,45200,46100,47000,47500,47100,46900,46300,45600,44700,43800
NOC1_0,Management occupations,Gestion,2100,2100,2100,2100,2200,2200,2200,2200,2200,2200,2100
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",81200,82400,84100,85500,86500,87500,87900,87500,86900,85700,84500
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,32100,33100,34200,35600,36300,36900,37300,37800,37800,37700,37700
NOC1_3,"Health occupations, except management",Secteur de la santé,26600,27300,28300,29300,29900,30500,31200,31700,31900,31900,31800
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",45600,47800,49600,51100,52600,53800,54800,55500,55900,55800,55700
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",11700,11600,11300,11200,11200,10900,10700,10500,10400,10300,10100
