Code,Occupation Name,Nom de la profession,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
00000,All Occupations,Toutes les professions,569800,579300,582400,582600,582500,583200,584700,587200,590600,594600,598800
TEER_0,TEER 0: Management occupations,FÉER 0: Professions en gestion,6300,7100,7200,7300,7400,7400,7500,7600,7700,7900,8000
TEER_1,TEER 1: Occupations usually require a university degree,FÉER 1: Une formation universitaire caractérise habituellement les professions,177600,178400,180600,182000,183400,185100,187000,189100,191500,194100,196700
TEER_2,TEER 2: Occupations usually require a college diploma or apprenticeship training of two or more years; or supervisory occupations,"FÉER 2: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou plus, ou des responsabilités de supervision caractérisent habituellement les professions",149200,151100,152600,153200,153700,154300,155000,156000,157100,158300,159500
TEER_3,TEER 3: Occupations usually require a college diploma or apprenticeship training of less than two years; or more than six months of on-the-job training,"FÉER 3: Un diplôme d’études collégiales, un programme d’apprentissage de deux ans ou moins, ou plus de six mois de formation en cours d’emploi caractérisent habituellement les professions",73600,75300,75900,76100,76200,76400,76700,77200,77700,78200,78800
TEER_4,TEER 4: Occupations usually require a secondary school diploma; or several weeks of on-the-job training,FÉER 4: Un diplôme d’études secondaires ou plusieurs semaines de formation en cours d’emploi caractérisent habituellement les professions,84900,88400,88100,87300,86500,85800,85300,84900,84700,84600,84600
TEER_5,TEER 5: Occupations usually require short-term work demonstration and no formal education,FÉER 5: Une formation en cours d'emploi et aucune exigence scolaire particulière caractérisent habituellement les professions,78200,79000,78000,76700,75300,74100,73100,72400,71900,71500,71100
NOC1_0,Management occupations,Gestion,100,100,100,100,100,100,200,200,200,200,200
NOC1_1,"Business, finance and administration occupations","Affaires, finance et administration",102100,105700,106700,107200,107700,108300,109100,110000,111100,112200,113400
NOC1_2,"Natural and applied sciences and related occupations, except management",Sciences naturelles et appliquées et domaines apparentés,73200,71400,72300,72900,73500,74100,74900,75700,76700,77700,78700
NOC1_3,"Health occupations, except management",Secteur de la santé,56200,57500,58300,58900,59400,59900,60500,61100,61900,62600,63400
NOC1_4,"Occupations in education, law and social, community and government services, except management","Enseignement, droit et services sociaux, communautaires et gouvernementaux",73700,76100,76900,77300,77700,78200,78700,79400,80200,81100,82000
NOC1_5,"Occupations in art, culture, recreation and sport, except management","Occupations in art, culture, recreation and sport",24100,23800,24000,24000,24000,24000,24000,24100,24300,24400,24600
NOC1_6,"Sales and service occupations, except management",Vente et services,133100,136200,135400,133900,132400,131100,130100,129300,128900,128700,128600
NOC1_7,"Trades, transport and equipment operators and related occupations, except management","Métiers, transport, machinerie et domaines apparentés",78700,79200,79500,79300,79100,79000,78900,79000,79100,79300,79600
NOC1_8,"Natural resources, agriculture and related production occupations, except management","Ressources naturelles, agriculture et production connexe",10400,11500,11400,11300,11100,11000,11000,10900,10900,10800,10800
NOC1_9,"Occupations in manufacturing and utilities, except management",Fabrication et services d'utilité publique,18200,17700,17800,17700,17600,17500,17400,17400,17400,17400,17500
00010,Legislators,Membres des corps législatifs,0,0,0,0,0,0,0,0,0,0,0
